,title,year,genres,description,rating
648,Khaidi No. 786,1988,"Action, Drama, Romance            ","    Gopi is an aspiring police constable and also a music master in a village. Radha is daughter of Arrogant Village head Surya Chandra Rao. Radha, in a fracas with Gopi, seeks revenge. But ...                See full summary »",6.6
649,Morning Raga,2004,"Drama, Music            ","    Morning Raga is about the meeting of worlds. It is a story that brings the modern and traditional together, unites the past with present, Carnatic music with Western music, as never before ...                See full summary »",6.9
650,Hitler,1997,"Action, Drama            ",    A protective and caring brother overcomes plethora of challenges to unite his family after understanding his father's side of story,6.4
651,Anjaneyulu,2009,"Action, Comedy, Crime            ",    A news reporter joins a gang incognito to expose corrupt politicians as well as find out who killed his parents.,4.8
652,Khaidi Garu,1998,Action            ,"    Khaidi Garu is a Indian Telugu film,directed by Om Sai Prakash and Produced by M Venkatadri Naidu and S Aadi Reddy. The film stars Mohan Babu, Krishnam Raju, Srihari and Laila in lead roles...                See full summary »",4
653,Thimiru,2006,Action            ,    A young medical student is plagued by local toughs and must fight to see justice done.,5.7
654,Loafer,2015,"Action, Drama            ",    An evil father takes away his son from his wife and tries to corrupt the boy.,5.2
655,Collector Garu,1997,"Action, Comedy, Drama            ","    With the help of a journalist, a honest district collector fights political corruption.",5.1
656,Tej I Love U,2018,Romance            ,"    Tej, a youngster who's highly attached to his family, is banished from his home by his uncle (Peddananna). He then finds himself in London, where he falls in love with Nandini. After long ...                See full summary »",5.4
657,Winner,,"Action, Drama            ",    A man who is separated from his family as a child is replaced by an interloper.,4.6
658,Anveshana,1985,"Mystery, Thriller            ",    The story of an Ornithologist and a Police investigator coming to a forest and trying to solve the mystery of a series of killings allegedly by a man-eating tiger.,7.5
659,Ism,2016,Action            ,    Hackers and gangsters collide in this story about the fight against corruption.,5.8
660,Abhinetri,2016,"Comedy, Horror            ",    The Telugu version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Hindi version is Tutak Tutak Tutiya (2016) and the Tamil version is Devi(L) (2016),6.1
661,Allari Ramudu,2002,"Action, Comedy, Drama            ",nan,4.3
662,Devadasu,2006,Romance            ,"    Devadas is the typical poor guy, while Bhanumati is a rich NRI girl whose father is the senator of New York. They fall in love when the girl comes to India to learn classical dance. Coming ...                See full summary »",5
663,Kodama Simham,1990,"Action, Adventure, Western            ",    Chiranjeevi has to get back the treasures hidden by his father by fighting the bad guys to release his mother from jail,6.7
664,April 1 Vidudala,1991,"Comedy, Romance, Thriller            ",    A habitual liar and con-man tries to transform himself into a honest and truthful person to win the heart of his ladylove.,7.7
665,Lankeshwarudu,1989,"Action, Drama            ",    An orphan grows to become a powerful gangster but faces challenges from within his gang as well as his police officer brother-in-law.,6.6
666,Kondaveeti Donga,1990,"Action, Adventure, Drama            ","    Unable to tolerate the worries of the villagers, Raja takes aid of a fairy tale hero 'Kondaveeti Donga', transforms himself into one and sets out to save the people from an evil hypnotizer Kadra.",6.9
667,O Pitta Katha,2020,"Drama, Thriller            ",    Two men fall deeply in love with the same woman but when she suddenly gets kidnapped they get involved in the case to rescue her.,6.9
668,Mutamestri,1993,"Action, Drama            ",    The story of a vegetable market worker who rises to the state of a minister.,7.1
669,Subbu,2001,Drama            ,nan,4.4
670,Pilla Nuvvu Leni Jeevitham,2014,"Action, Drama, Romance            ",    Seenu(Sai Dharam Tej) falls in love with Shailu(Regina) and proposes to her but gets rejected every time.Twist in the tale arises when Seenu comes to know that Shailu is in danger posed by ...                See full summary »,6
671,Sri Ramulayya,1999,Action            ,nan,4.8
672,Boss,2006,Romance            ,"    Abandoned at birth at the Kasturba Annarthalay by her father, Gangulal, due to her gender, Anuradha grows up, and feels rejected when she is by-passed for adoption. When she grows up, she ...                See full summary »",4.2
673,Anaganaga Oka Roju,1997,"Action, Comedy, Drama            ",    Two runaway lovers are wanted both by the police and a bunch of crooks. Unknown to them they carry a powerful evidence that can expose a dirty political plot. The only person who can help ...                See full summary »,7.1
674,Raghavendra,2003,"Action, Drama, Romance            ",    Raghavendra's life comes to a standstill when his lover is killed by a ruthless don and starts to live a reclusive life. However circumstances forces him to fight against the perpetrators who have ruined his life.,4.9
675,Kondaveeti Simhasanam,2002,"Action, Drama            ",nan,4
676,Cinema Chupista Maava,2015,Family            ,"    Kaththi(Raj Tarun) is a careless youth who spends his life without any goal. One fine day, he falls in love with a Bengali girl named Parineetha(Avika Gor) and her father has some conditions for him to marry her daughter.",6.1
677,Sri Jagadguru Adi Shankara,2013,Drama            ,    The film is based on the life of 8th century philosopher Adi Shankara. The film is the sequel of the 2001 Telugu Devotional film Sri Manjunatha.,6.4
678,Hawaa,2019,Crime            ,"    A Gripping Nightmarish Journey in Broad Daylight which revolves around 9 BRAINS, 9 CRIMES in 9 HOURS..!.",7
679,Toofan,2013,Action            ,    ACP Vijay Khanna is transferred to Mumbai. He is assigned to an investigation that puts him face to face with the oil mafia.,3
680,Ongole Githa,2013,"Action, Comedy            ",    White(Ram) enters the Chilli market yard in Ongole at the age of 12. Adikeshava (Prakash Raj) is the chairman of that Chilli yard. White comes to know of Adikeshava's real character and ...                See full summary »,5.1
681,Chukkallo Chandrudu,2006,Drama            ,    A rich boy tries to identify the girl to marry from his 3 childhood friends.,5.4
682,Indrudu Chandrudu,1989,"Comedy, Drama            ",    A corrupt mayor decides to live honest life.,7.2
683,Sankranthi,2005,Drama            ,"    Raghavendra, Vishnu, Chinna, and Vamsi are brothers. Raghavendra and Anjali (Arti Agarwal) fall in love and they are relatives as well. They get engaged with the consent of parents. But ...                See full summary »",6.2
684,Aa Okkati Adakku,1993,Comedy            ,nan,7.8
685,Eeshwar,2002,"Action, Drama            ",nan,5.2
686,Ratchakan,1997,"Action, Romance            ","    Ajay, a short tempered young man falls in love with soniya daughter of a bigshot. Things take a turn for the worse when soniya's father puts a condition that Ajay has to control his temper for 3 months while working in his company.",6.4
687,Maruthu,2016,"Action, Drama            ",    Maruthu is a rustic action entertainer where Vishal plays the role of a labourer. The story revolves around his relationship with his grandmother.,5.2
688,Yamudiki Mogudu,1988,"Action, Comedy, Fantasy            ","    A man, who wrongfully dies before his time, is reincarnated in the body of a lookalike.",7.3
689,Police Police,2010,Action            ,"    Srikanth (S.P Ranadheer) appears as the protagonist while Prithviraj Sukumaran (D.S.P) appears as the antagonist. Srikanth is a sincere cop who tries to remove the wrong doers, whereas ...                See full summary »",5.6
690,Evvarikee Cheppoddu,2019,Drama            ,"    Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",7.3
691,Sudigaadu,2012,"Action, Comedy            ","    Join Shiva, a larger than life hero on a madcap journey to find his kidnapped parents and to capture a notorious criminal.",5.7
692,Rama Rama Krishna Krishna,2010,"Action, Comedy, Drama            ",    After his wife's murder he give up Mumbai and goes to a village with his two sisters for their safety.,5.4
693,Geethanjali,2014,"Comedy, Horror            ",    Filmmakers are haunted by a woman who committed suicide.,6.3
694,Padamati Sandhya Ragam,1987,Romance            ,    The story of an Indian girl falling in love with an American in 80s USA.,7.8
695,Sri Manjunatha,2001,"Drama, Family, History            ",    The story of the famous Saint-Poet Manjunatha.,6.9
696,Vennela,2005,Romance            ,nan,7
697,Jaguar,2016,Action            ,"    Krishna, a young medical student, strikes against corrupt figures of power as a vigilante and tries to decribes his father's injustice death while trying to win the love of his friend's sister as a college student.",5.6
698,Marshal,2019,Action            ,"    Marshal is a medical crime thriller movie directed by Jai Raaja Singh and produced by Abhay Adaka. The movie cast includes Srikanth, Abhay, Megha Chowdhury and Rashmi are in the lead roles. Yaadagiri Varikuppala scored music.",6.9
699,Master,1997,"Action, Drama            ","    A popular college professor is unable to find true happiness because of his dark past, but the persistence of love and justice ultimately win the day.",6.8
700,Maska,2009,"Action, Comedy, Drama            ",    An unemployed slacker attempts to woo and marry a woman who is going to live abroad.,5.2
701,Assembly Rowdy,1991,"Action, Drama            ",    An unemployed young man gets involved in local politics.,6
702,Mehbooba,2018,"Action, Drama, Romance            ",    Mehbooba movie is a romantic love story in the backdrop of 1971 Indo-Pak war.,5.7
703,Sneham Kosam,1999,"Action, Drama            ","    Prabhavati lives a wealthy lifestyle in India with her dad, mom, and elder sister, Rani. Rani is of marriageable age and her marriage is arranged with her mom's half-brother, but just after...                See full summary »",6.5
704,Sindhu Bhairavi,1985,Drama            ,"    The plot of the film revolves around the three lead characters J. K. Balaganapathi (JKB), Sindhamani aka Sindhu and Bhairavi. A Carnatic singer (JKB) at the peak of his career loses his ...                See full summary »",7.2
705,Adhinayakudu,2012,"Action, Drama            ",    A Grandson from a political family struggles to level up with his father and grandfather. Balakrishna plays all three roles in this film.,3.6
706,Lakshyam,2007,"Action, Drama, Romance            ",    A tale of brotherhood and love .,6.1
707,Adavi Ramudu,2004,"Action, Romance            ","    A poor man from a small village attends an urban college and wins the heart of a woman from a wealthy and powerful family. Her relatives disapprove. Eventually, the pair flee into the forest and are pursued by her angry family.",4
708,Kunti Puthrudu,1993,Drama            ,nan,4.1
709,Mathangi,2016,Horror            ,"    King Udayapandyan ruled some provinces of Tamil Nadu, 600 years ago. He fell in love with a huntress named Mathangi (Ramya Krishnan), married her and built her a bungalow near the forest. ...                See full summary »",4.2
710,Brahma,1992,Action            ,nan,3.9
711,Alludugaru,1990,"Drama, Comedy            ","    Kalyani (Shobhana) is ditched by the man she loves when her father disinherits her from his property. However, she is forced to hire Vishnu (Mohan Babu), a thief to play her husband before ...                See full summary »",5.7
712,Oka Chinna Viramam,2020,Thriller            ,"    Deepak is a businessman immensely in love with his pregnant wife Sameera . But when his idea of raising profits for his business puts her in trouble, he teams up with Balu (Naveen Neni) and Maya to save her.",7.3
713,Nenu Lenu,2019,Drama            ,"    Nenu Lenu is the story of Eeshwar (Harshit), an orphan who falls for Parvati's (Sri Padma) honesty in the first sight and convinces her to marry him after much effort. In time, a gang of ...                See full summary »",7.3
714,Mrugaraaju,2001,"Action, Adventure, Thriller            ","    Raju lives a poor lifestyle in rural India along with his parents. He meets with a wealthy city girl, both fall in love, and get married much to the chagrin of her father who decides to ...                See full summary »",4.4
715,Bharani,2007,"Action, Drama            ","    Bharani, a hot headed man, tries to peacefully resolve the conflict between the families, from the one which he belongs, and the one from which his lover belongs. But several circumstances force him to use his fist than his heart first.",5.8
716,Dil,2003,"Action, Romance            ","    Seenu has enrolled at the same college attended by Nandini, the only daughter of a don. Seenu is angry when her father's men beat him just because they think the two are falling in love, but it also becomes a challenge to win Nandini.",7
717,Ullasanga Utsahanga,2008,Romance            ,    A complicated love story between childhood friend BALAJI and only friend Arvind. Which one Dhana should choose to spend his entire life with?,6.9
718,Kedi,2010,Action            ,"    Ramesh, nicknamed Rummy (Nagarjuna) loves his childhood friend Janaki, who asks him to become rich and powerful before marrying her. With this motive, Rummy starts gambling and becomes rich in no time.",4.7
719,Shock,2006,Action            ,    A man takes revenge from two corrupt encounter specialist officers and a criminal lawyer for framing him as a maoist and for killing his wife and unborn child.,5.4
720,Jyo Achyutananda,2016,"Comedy, Drama, Romance            ","    Achyut and Anand are brothers, Jyosthna is a tenant in their home. Both the brothers try impressing her.",6.5
721,Mithunam,2012,"Drama, Family            ","    Wedded together for fifty years, knowing each other inside out, Appadaasu and Buchchi Laxmi fill their retired days with raw quarrels and ripe loves. Emotional entanglements enslave them to...                See full summary »",7.7
722,Palasa 1978,2020,"Action, Drama            ","    Mohan Rao and his elder brother face Pedda Shavukar and Chinna Shavukar, a political battle where low caste fights the high caste power.",7.6
723,Maro Charithra,1978,"Drama, Romance            ",    Two lovers from differing cultural backgrounds are separated by their parents for one year in order to prove if their love is true.,7.4
724,Pelli Pustakam,1991,"Comedy, Drama, Romance            ",    Newly married couple K. Krishnamurthy and Satyabhama to solve their financial problems they seek a job in a big company. As their boss would give job only to one member of a family. So the couple lies that they are unmarried and joins.,7.5
725,Boy,2019,"Comedy, Drama            ",    A boy's story during the final days of his high school.,6.9
726,Yamaleela,1994,"Comedy, Drama, Fantasy            ","    Yamaleela is the story of Suraj, a careless and aimless young man. He comes to know that he hails from a royal family and how his mother raised him after his father's death and the loss of ...                See full summary »",7.5
727,Suryavamsam,1998,Drama            ,    Bhanu Prasad is an illiterate. So he is not loved much by his father. Even a young woman refuses to marry him as he is an illiterate. Later he meets Swapna who teaches him everything and finally he wins his father's trust and love.,7.1
728,Kaakki Sattai,1985,"Action, Comedy, Drama            ","    Murali is a young man obsessed with joining the police force. After being rejected several times, he is disillusioned and joins a smugglers' gang instead.",7.1
729,Ammoru,1995,"Fantasy, Horror            ",    A goddess protects a girl from an evil magician and his family.,7.1
730,Ninnu Choodalani,2001,Romance            ,    The twin cities sport two sweet shop giants in the form of Siva Reddy (K Vishwanath) and Sahadeva Reddy (Kaikala Satyanarayana). Venu (Jr. NTR) is the teenage grandson of Siva Reddy and ...                See full summary »,4.4
731,Premante Idera,1998,"Romance, Drama            ","    City-based Murli along with several male friends attend a marriage ceremony of one of their friends in a small village community. They travel by train, and arrive there awaiting to see what...                See full summary »",6.7
732,Devadasu,1953,"Drama, Family, Musical            ","    Adapted from a popular Bengali novel, Devadasu narrates the story of a rich guy and poor girl separated by class system of India. Parvati is forcefully married off to a middle-aged rich man and Devadasu becomes a drunkard.",7.4
733,Ninaithale Inikkum,1979,"Musical, Romance            ",    The movie revolves around a music troop who travel to Singapore for a performance and how their life takes a turn when they meet their love partner.,6.9
734,Jayam,2002,"Action, Drama, Romance            ","    Jayam is a 2002 Telugu film produced and directed by Teja on Chitram Movies banner. Starring Nithiin, Sadha, and Gopichand in the lead roles and music composed by R. P. Patnaik.The story is...                See full summary »",6.3
735,Mugguru,2011,Comedy            ,nan,5
736,Ganesh,2009,Romance            ,nan,5
737,Arjun Reddy,2017,"Drama, Romance            ",    A thief falls in love and this changes his life.,5
738,Vangaveeti,2016,"Action, Biography, Crime            ",    The life story of slain legislator Vangaveeti Mohan Ranga Rao who was assassinated during the NT Rama Rao regime in 1989.,6.2
739,Chandamama Kathalu,2014,Drama            ,    Intertwining stories of people belonging to a cross section of society.,7.2
740,Chandamama,2007,"Drama, Romance            ",    Mahalakshmi confesses to her fiance that whilst at school in city she fell in love with a boy who broke her heart. The fiance sets out to find the philandering boy to teach him a lesson and...                See full summary »,6.7
741,Rowdy Fellow,2014,"Action, Romance            ","    An egoistic wealthy man becomes a cop to settle a score, but gets into a feud with a local politician.",6.7
742,Shirdi Sai,2012,"Biography, Drama, Musical            ",    Biopic of shirdi sai baba.,6.7
743,Sisindri,1995,"Comedy, Family            ",    Three bumbling criminals find it harder to keep hold of a baby after sucessfully kidnapping the baby for ransom.,6.7
744,Manasantha Nuvve,2001,"Drama, Family, Romance            ","    A young man and a young girl who love each other, gets separated in their childhood. A lot of things happen later in their lives. But they get united finally.",7.1
745,Seetharamaiah Gari Manavaralu,1991,Drama            ,"    Through family conflicts, separated daughter returns back to her father's hometown in an attempt to revive their family relationships.",7.7
746,Bhale Manchi Roju,2015,"Action, Romance            ",    The story revolves around a guy who gets trapped in a situation where he is forced to kidnap a girl in order save his loved ones.,6.9
747,Devi Putrudu,2001,"Drama, Fantasy            ",    Archeologist balaram doesn't believe in God and tries to find out the mystery of water torque in sea at ancient Dwaraka. Balaram believes that there is a mystery behind that's a strange ...                See full summary »,5.8
748,Super Duper,2019,"Comedy, Thriller            ","    Two petty criminals end up kidnapping the wrong woman, and end up in a situation where they have to deal with a kingpin of a drug mafia.",6.6
749,Subhash Chandra Bose,2005,"Action, Drama, History            ","    Amarchandra lives a poor lifestyle in British India along with his mom, dad, Baba Thakur, and a sister. His dad works as a guard with the British Army, which is commandeered locally by ...                See full summary »",3.1
750,Hyderabad Blues 2,2004,"Drama, Comedy            ","    Six years after they got married, Ashwini and Varun come across a new challenge which tests the integrity of their marriage.",6.2
751,Vijetha,1985,"Drama, Family, Romance            ",    Chinnababu (Chiranjeevi) is an aspiring footballer who has a good heart. But his father does not support a career in football. Chinnababu loves a beautiful girl Priyadarshani (Bhanupriya) ...                See full summary »,7.2
752,Veera Bhoga Vasantha Rayalu,2018,"Crime, Thriller            ","    A cop is pursuing a dangerous man who is behind the disappearance of a flight with innocent passengers, and orphan girls. Will he be nabbed?",6.7
753,Tik Tik Tik,1981,"Crime, Mystery, Thriller            ",    A fashion photographer gets embroiled in a series of grisly murders,7
754,Detective Naarada,1993,"Comedy, Drama, Thriller            ",nan,5.9
755,Kalyana Vaibhogame,2016,"Comedy, Drama            ","    Shourya (Naga Shourya) is a gaming software professional in Hyderabad. He is just 23 years old but his parents want him to get married before his aging grandmother dies. He wants freedom, ...                See full summary »",6.8
756,Heza,2019,Drama            ,    A musician and his wife are haunted by an evil eye hex witch who tries to find her source for mortal life through them. The protagonist slums into unrest to escape from the demonic witch's grave peal.,7.4
757,Narthanasala,1963,"Drama, Musical            ",    This film deals with the Virata Parvam (Book of Virata) of the epic Mahabharatam dictated by Vyasa Maharshi.,7.6
758,Nenunnanu,2004,Action            ,nan,5.3
759,Ganesh,1998,"Action, Drama, Thriller            ","    Ganesh (Venkatesh) loses his father, sister and his friend who is also a journalist, due to the corrupt politicians. He takes revenge on the corrupt system.",7.2
760,Veedevadandi Babu,1997,Comedy            ,nan,5.6
761,Sirivennela,1986,"Family, Musical            ","    Sirivennela is a 1986 Indian Telugu film, directed by K. Vishwanath and Produced by Ch. Ramakrishna Reddy, N. Bhaskara Reddy and Ujjuri Chinaveerraju. The film stars Suhasini, Sarvadaman ...                See full summary »",7.5
762,Routine Love Story,2012,"Comedy, Romance            ",    Sanju (Sundeep Kishan) is a college going student who falls for a girl Tanvi (Regina Cassandra) at first sight. They get along over a period of time but unsure of the advancing in their ...                See full summary »,6
763,Intlo Illalu Vantaintlo Priyuralu,1996,"Comedy, Family            ","    Sriram (Venkatesh) and Seeta (Soundarya) have no children even after three years of marriage life. Sriram comes to know through the doctor that his wife cannot bear children, he is not ...                See full summary »",6.9
764,Guna 369,2019,"Action, Drama            ",    Guna (Karthikeya) is a happy-go-lucky guy who believes the solution to solving issues is not through violence but through compromise. But what happens when he's forced to the extremes by someone close to him?,6.3
765,Anandam,2001,Romance            ,"    Kiran (Akash) and Aishwarya (Rekha) are neighbors for 20 years in Hyderabad. They study in the same college and immensely hate each other. Rekha's parents shift to Ooty. In Ooty house, ...                See full summary »",7.1
766,Masala,2013,"Action, Comedy            ",    Balaram (Venkatesh) is a good hearted strongman of the village of Bheemarajapuram. He treats everyone with fairness and takes care of their needs. But there is one thing that Balaram cannot...                See full summary »,5.3
767,Entha Manchivaadavuraa,2020,"Action, Drama            ","    Balu loses both of his parents in his childhood and he grows up as an orphan. Because of this, he starts an organization named ""All Is Well"" to supply emotions to the needy.",5.5
768,Ruler,2019,"Action, Drama            ","    Bhumika and Vedhika are trying hard to remind Balayya of his past. In the process, they take him to the villain's residence and asks to fight with him. Now, time for yet another fight",3.6
769,Om Namo Venkatesaya,2017,"Biography, Fantasy            ",    The life of Hathiram Baba is chronicled in this devotional biopic.,7.2
770,Gundello Godari,2013,"Adventure, Drama, Romance            ","    Gundello Godari is about a newlywed couple who are forced to battle it out against a devastating flood of the River Godavari. They lose all hope of survival, so they decide to narrate the ...                See full summary »",4.8
771,Rowdy Gari Pellam,1991,Drama            ,    A criminal decides to redeem himself after marriage but his former boss resents this.,3.8
772,Paper Boy,2018,Romance            ,    The film is a rom-com which explores the life of a young paperboy.,6.5
773,Mister,2017,Drama            ,"    Chai lives in Spain with his family where he meets and falls in love with Meera. Chai's fate takes a turn when he travels to India and meets Chandramukhi, who falls for him.",3.9
774,Raju Gari Gadhi,2015,Horror            ,    There is a haunted house in Nandigama. Dead bodies of 34 people resurface in house's well over a period of time. A TV channel plans to host a reality show in that haunted house.,5
775,Thodarum,1999,"Drama, Romance            ","    Family and personal life is messed up for a cool dude, when suddenly his possessive wife doubts/links up a relationship with a girl from his office.",5.4
776,Allari Mogudu,1992,"Drama, Comedy            ",nan,5.7
777,Nirnayam,1991,"Action, Comedy, Drama            ",nan,7
778,Dharma Bhai,2018,"Action, Drama            ","    Teja, a software engineer's plans to take down corruption are inspired by real-life incidents that took place in 2014 at Kukapally, Hyderabad.",3
779,Software Sudheer,2019,Drama            ,"    Chandu and Swathi are Software engineers. Chandu is an average guy who never misses an opportunity to impress Swathi. Once Swathi recognizes Chandu's honesty and innocence, the affair ...                See full summary »",6
780,Bhageeratha,2005,"Action, Drama            ",    Krishna Lanka is an island in Godavari districts. The only way of commuting to that island is by boats. Lots of people die due to bad whether conditions while they travel. Krishna Lanka's ...                See full summary »,5.6
781,Azaad,2000,"Action, Drama            ","    Anjali is a Journalist, who lives a middle-class lifestyle along with her widower dad in Hyderabad, Andhra Pradesh. One day while traveling by State Transport bus along with her dad and her...                See full summary »",6.2
782,Minugurulu,2012,"Drama, Family            ","    Raju a 13 year old child passionate about films who always wanted to be a filmmaker become blind in an accident. Drunkard and irresponsible father puts Raju in a blind orphanage,claiming ...                See full summary »",7.5
783,Raaja Paarvai,1981,"Drama, Romance            ",    The story is about a blind violinist who falls in love with a rich girl and ends up facing many difficulties.,7.2
784,Vijayendra Varama,2004,"Action, Thriller            ","    A man(Balakrishna) living in a village with a wife(Laya) and a child finds out that he is good at combative skills. After learning that he has amnesia, he goes in his search to find his identity and his past.",2
785,Mogudu,2011,Drama            ,"    A couple truly in love get married. On the day of marriage just after the ritual due to a stupid reason an argument sparks, egoes crash which turns into violence. The couple separates. How they finally unite is rest of the movie.",3.8
786,Jayam Manadera,2000,Drama            ,    Abhiram is a fun loving guy staying with his parents in London. 8 people won the contest of an opportunity to tour Europe. Uma is one of them. Abhiram likes Uma and acts as a tour companion for them during their stay in Europe.,6.3
787,Oxygen,2017,"Action, Thriller            ","    Krishna arrives in India to get married to Shruti, but when Krishna saves her father from an attack, it is revealed he has a hidden agenda.",5.5
788,Athaku Yamudu Ammayiki Mogudu,1989,"Action, Comedy, Drama            ","    After a poor man marries a rich woman, he has to contend with his rich, arrogant mother-in-law.",7
789,Sindhooram,1997,"Action, Drama, Romance            ",    A young man in a village who wants to become a police officer ends up becoming a terrorist due to being framed.,7.4
790,Bezawada,2011,"Action, Crime            ","    A man vows to avenge the death of his brothers, after they killed by a goon, who is also an aspiring politician. How he avenges forms the rest of the story of this violent saga set in a land of bloodshed and wars.",3.3
791,Satyam,2003,Romance            ,"    Despite his best intentions, Satyam, an aspiring songwriter, is misunderstood by his family and his love interest, Ankita.",6.7
792,Avunu Valliddaru Ishtapaddaru,2002,"Comedy, Romance, Drama            ",nan,6.6
793,Baladoor,2008,"Action, Comedy            ","    Chanti respects his uncle Rama Krishna more than his father Purshrotam. Rama Krishna has enmity with Umapathi because of something that happened 20 years ago. Later, Chanti is kicked out of...                See full summary »",4
794,2 Hours Love,2019,Romance            ,    Story of a couple in a contractual relationship where they meet only for 2 hours a day and behave like strangers during other times.,6.7
795,Sakalakala Vallavan,1982,"Action, Comedy, Romance            ","    A young agriculturist Velu (Kamal Hassan) goes to extremes to attain revenge against his devious landlord and her family. He is an upright young man, but when his family gets cheated out of...                See full summary »",6.7
796,MLA,2018,"Action, Drama            ",    An intelligent youngster is faced with a situation to win in the state legislative assembly elections in order to win the approval of his father-in-law.,5.2
797,Appula Appa Rao,1991,Comedy            ,nan,7.3
798,Radha,2017,"Action, Comedy, Romance            ",    A romantic drama starring Sharwanand and Lavanya Tripathi.,5.4
799,Ladies Tailor,1985,Comedy            ,"    In the Godavari delta, a tailor specializing in bodices for women begins a quest for the ideal bride, guided by a soothsayer's prediction that the woman will have a birthmark on her right thigh.",7.1
800,Abhilasha,,Thriller            ,"    A young lawyer strives to remove the death sentence from the judicial system. With support from his mentor, he devises an ingenious plan. When the plan goes terribly wrong halfway through, he has to race against time to save his own life.",7.3
801,Srimannarayana,2012,Drama            ,"    A journalist fights crime, while getting revenge for his father's death.",4.1
802,Katha Screenplay Darsakatvam: Appalaraju,2011,Comedy            ,    An aspiring director gets his chance to direct his dream project only to get his project changed by the film crew from an emotional drama to a comedy one.,5
803,Chandralekha,1998,"Comedy, Romance            ",    Seetha Rama Rao leads a tumultuous financial life until his world is turned upside down after pulling the beautiful Chandra from a car wreck. When Chandra's parents show up to the hospital ...                See full summary »,6.7
804,Maharadhi,2007,Action            ,    A common man and his Handicap Sister struggles in the modern world. How they are gonna fight them back is all story about.,2.1
805,Speedunnodu,2016,"Comedy, Romance            ",    Speedunnodu is a remake of the Tamil hit film - Sundarapandian. The film is a romantic comedy about a young man and the girl he is trying to woo for his friend.,4.6
806,Subhalekha,1982,"Family, Drama, Musical            ",nan,7.3
807,Asura,2015,"Action, Drama            ",    The story deals with the ego between a jailor(cop) and the prisoner who is subjected to death.,6.5
808,Palnati Brahmanayudu,2003,"Action, Drama            ",    The Saga of a village where the ancient religious commandments are believed. A man(Balakrishna) fulfills his destiny to bring justice to his village.,2.5
809,@ Nartanasala,2018,Drama            ,"    Naga Shourya is a young man who always wants women to be independent in life. In this process, he solves a girl called Manasa's problems and falls in love during the course of time. Just ...                See full summary »",3.7
810,Nuvvu Nenu,2001,Romance            ,nan,6.7
811,Rowdy Mogudu,1993,Drama            ,nan,4.5
812,Vijetha,2018,Drama            ,    Srinivasa Rao (Murli Sharma) does his best to give his children everything they seek and fulfil even the smallest of their desires. His son Ram (Kalyaan Dhev) grows up oblivious to all the ...                See full summary »,6.8
813,Ravoyi Chandamama,1999,"Drama, Romance            ",nan,4.8
814,Dream,,"Action, Crime, Mystery            ",    Dream is a journey into the mind of the protagonist. All the puzzles faced by the protagonist are experienced by the audience.,8.3
815,Preminchukundam Raa,1997,Romance            ,    The story of two lovers who overcome all the hurdles to get united.,7.2
816,Vasantham,2003,"Drama, Romance            ",    The story revolves around two friends who overcome the problems in their personal marriage lives with their friendship.,5.6
817,Chanti,1992,"Drama, Romance            ","    When an astrologer predicts that Nandini would marry a person of her choice, her possessive brothers decide to guard her. Can they stop her from marrying the person of her choice ?",7
818,Bobbili Raja,1990,"Action, Romance            ","    Raja after knowing his true identity, teaches a lesson to his enemies.",6.9
819,Kataka,2017,"Horror, Thriller            ",    Kumar who works in a city as school teacher is fed up of the city life and plans to come back to his native and fulfill his dream of starting a school which will offer a stress less ...                See full summary »,7.5
820,Dongala Mutha,2011,"Action, Crime, Thriller            ",    3 people try to escape from the captivity of a group of kidnappers.,3.7
821,Chitemma Mogudu,1992,Comedy            ,"    The young village girl Chitti (Divya Bharti) is a bubbly and fun-loving childwoman. She is enjoying life with her young group of friends consisting of three younger boys. One day, while ...                See full summary »",4.4
822,Subha Sankalpam,1995,"Drama, Musical            ","    While trying to protect his master's treasure,a young man loses his family.Moved by his gesture,the master adopts the man's young son and also leaves behind a share of his property for them",6.8
823,Maa Inti Katha,1990,Family            ,nan,2.5
824,W/o Ram,2018,Thriller            ,"    Deeksha, wife of Ram takes it in her own hands to find her husband's murderer when police refused to help her.",6
825,James Bond,2015,"Action, Comedy            ","    A down-to-earth software employee marries a lady without knowing about her past and criminal activities. Halfway through his marriage, he finds out her background and decides to run away, but ultimately comes to terms with his problems.",5.5
826,Padmavyuham,1984,Action            ,"    Soori gets Lakshmi, who is on the run, married to her lover. However, when he later learns that Lakshmi has been raped and murdered by the cruel landlord Jagannath, he sets out to avenge her death.",1.6
827,Avunu,2012,"Horror, Thriller            ","    The spirit of a serial rapist who's body is chopped into tiny pieces, mixed into concrete that's used to build a house, haunts it and terrorises the newly weds who move in there.",6.5
828,Veerabhadra,2005,Action            ,"    Shamsher Singh is smuggler for many years, has a good heart, is known to the police, and lives with his grandmother, an alcoholic father; a photographer brother and his wife; and a sister. ...                See full summary »",2.5
829,Iddaru Mitrulu,1999,"Drama, Musical            ",    The Story is about two childhood friends Vijay and Anitha facing problems in their marriages because of their friendship.,5.2
