,title,year,genres,description,rating
54,Jersey,2019,"Drama, Sport            ",    A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,8.6
55,Sye Raa Narasimha Reddy,2019,"Action, Adventure, Drama            ","    A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",7.5
56,Ala Vaikunthapurramuloo,2020,"Action, Drama            ",    A jealous clerk secretly switches his newborn son with his millionaire friend's temporarily stillborn son.,7.2
57,Janatha Garage,2016,"Action, Drama            ","    An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life.",7.3
58,Gabbar Singh,2012,"Action, Comedy            ","    Venkatarathnam Naidu (Pawan Kalyan), son of Suhasini and step son of Nagineedu calls himself as Gabbar Singh after liking the character from Sholay. He turns as a cop and gets posted to his...                See full summary »",7.1
59,Temper,2015,"Action, Drama            ","    Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape.",7.4
60,Game Over,,"Drama, Thriller            ",    A nyctophobic woman has to fight her inner demons to stay alive in the game called life.,7.1
61,Singam 2,2013,"Action, Thriller            ",    Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.,6.3
62,Dhruva,2016,"Action, Thriller            ","    A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",7.9
63,Jalsa,2008,"Action, Comedy            ",    A carefree young man's past compels him to confront a criminal boss to acquire land rights.,7.3
64,Maharshi,2019,"Action, Drama            ","    Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers.",7.3
65,Pelli Choopulu,2016,"Comedy, Drama, Romance            ","    This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summary »",8.2
66,Arya 2,2009,"Action, Comedy            ",    A psychotic willing to sacrifice anything for friendship transforms himself for the sake of his best friend who's not really fond of him.,7.4
67,Chekka Chivantha Vaanam,2018,"Action, Crime, Drama            ",    A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.,7.3
68,Naa Peru Surya Na Illu India,2018,"Action, Drama            ","    A short tempered soldier aspiring to serve at the borders is tasked with getting clearance signature from his estranged father, a professor, who in turn challenges him to give up anger.",6.8
69,Ki & Ka,2016,"Comedy, Romance            ","    Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",5.8
70,Seethamma Vakitlo Sirimalle Chettu,2013,"Comedy, Drama, Family            ","    An exuberant and evocative family drama, that primarily revolves around the close bond between two brothers with radically different personalities, highlighting the complex process of choosing an ideal life partner for each of them.",7.5
71,Singam 3,2017,"Action, Thriller            ",    Uncompromising police chief Durai Singam battles against a criminal operation dealing in deadly toxic waste.,6.3
72,Agent Sai Srinivasa Athreya,2019,"Action, Comedy, Crime            ",    Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,8.5
73,Jai Lava Kusa,2017,"Action, Drama            ","    Sidelined at a very young age due to stammering, the eldest of identical triplets develops hatred for his younger brothers and creates havoc in their lives as they all reunite as adults.",7
74,Arya,2004,"Action, Drama, Romance            ","    Arya (Allu Arjun) is a happy-go-lucky, college-going youth with an attitude. He falls in love with Geeta (Anuradha Mehta) at first sight. He proposes to her in front of her boyfriend Siva. ...                See full summary »",7.8
75,Maattrraan,2012,"Action, Sci-Fi, Thriller            ","    Conjoined twins Vimalan and Akhilan involve themselves in a series of deaths involving their father's company. However, the truths that they initially uncover lead to a bigger conspiracy, one that spans across the globe.",5.9
76,Kochadaiiyaan,2014,"Animation, Action            ",    A saga of revenge undertaken by a son for his father's name and his kingdom.,6.3
77,Thaanaa Serndha Koottam,2018,"Action, Comedy, Crime            ","    Angered by the corruption that stopped him from becoming a CBI officer, a young man forms a gang who pose as CBI officers and raids the corrupt.",6.8
78,OK Kanmani,2015,Romance            ,"    Two young lovers are compatible in every way - they even agree that marriage is futile. However, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live.",7.4
79,Dear Comrade,2019,"Action, Drama, Romance            ",    A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.,7.3
80,Happy Days,2007,Drama            ,"    The movie revolves around eight youngsters, who become good friends in their freshman years when they join the college for their Bachelors in Engineering (B.E.). The life of these young ...                See full summary »",7.9
81,Sarileru Neekevvaru,2020,"Action, Comedy, Drama            ",    A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,6.1
82,Julayi,2012,"Action, Comedy            ",    A happy-go-lucky man with wit and an instinct to kill teams up with a timid cop after being pursued by the criminal whose plans to rob a bank he foiled.,7.2
83,Kshanam,2016,Thriller            ,"    Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",8.3
